"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"wallet客户端接口自动化","wallet客户端","提现次数统计场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户查看账单详情场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","首页展示渠道列表页场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户查询账单场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","客户端登录次数统计场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户查看银行账户列表场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","首页选择PIX渠道场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户重置登录密码场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户添加银行账户进入编辑页场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","首页展示商场场景","0","0","0","1","0"
"wallet客户端接口自动化","wallet客户端","客户端登录场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户发送短信验证码场景(更新手机号)","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户新增银行账户场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户重置支付密码场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户完成PIX渠道提现场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户删除银行账户场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","用户更新CEP或Email场景","0","0","1","0","0"
"wallet客户端接口自动化","wallet客户端","展示用户个人信息场景","0","0","1","0","0"
